name;expected_folder;actual_folder;status
KQBvKR.rtbz;3-4-5;3-4-5;PRESENT
KQBvK.rtbz;3-4-5;3-4-5;PRESENT
KQNNvK.rtbz;3-4-5;3-4-5;PRESENT
KQNPvK.rtbz;3-4-5;3-4-5;PRESENT
KQNvKB.rtbz;3-4-5;3-4-5;PRESENT
KQNvKN.rtbz;3-4-5;3-4-5;PRESENT
KQNvKP.rtbz;3-4-5;3-4-5;PRESENT
KQNvKQ.rtbz;3-4-5;3-4-5;PRESENT
KQNvKR.rtbz;3-4-5;3-4-5;PRESENT
KQNvK.rtbz;3-4-5;3-4-5;PRESENT
KQPPvK.rtbz;3-4-5;3-4-5;PRESENT
KQPvKB.rtbz;3-4-5;3-4-5;PRESENT
KQPvKN.rtbz;3-4-5;3-4-5;PRESENT
KQPvKP.rtbz;3-4-5;3-4-5;PRESENT
KQPvKQ.rtbz;3-4-5;3-4-5;PRESENT
KQPvKR.rtbz;3-4-5;3-4-5;PRESENT
KQPvK.rtbz;3-4-5;3-4-5;PRESENT
KQQBvK.rtbz;3-4-5;3-4-5;PRESENT
KQQNvK.rtbz;3-4-5;3-4-5;PRESENT
KQQPvK.rtbz;3-4-5;3-4-5;PRESENT
KQQQvK.rtbz;3-4-5;3-4-5;PRESENT
KQQRvK.rtbz;3-4-5;3-4-5;PRESENT
KQQvKB.rtbz;3-4-5;3-4-5;PRESENT
KQQvKN.rtbz;3-4-5;3-4-5;PRESENT
KQQvKP.rtbz;3-4-5;3-4-5;PRESENT
KQQvKQ.rtbz;3-4-5;3-4-5;PRESENT
KQQvKR.rtbz;3-4-5;3-4-5;PRESENT
KQQvK.rtbz;3-4-5;3-4-5;PRESENT
KQRBvK.rtbz;3-4-5;3-4-5;PRESENT
KQRNvK.rtbz;3-4-5;3-4-5;PRESENT
KQRPvK.rtbz;3-4-5;3-4-5;PRESENT
KQRRvK.rtbz;3-4-5;3-4-5;PRESENT
KQRvKB.rtbz;3-4-5;3-4-5;PRESENT
KQRvKN.rtbz;3-4-5;3-4-5;PRESENT
KQRvKP.rtbz;3-4-5;3-4-5;PRESENT
KQRvKQ.rtbz;3-4-5;3-4-5;PRESENT
KQRvKR.rtbz;3-4-5;3-4-5;PRESENT
KQRvK.rtbz;3-4-5;3-4-5;PRESENT
KQvKB.rtbz;3-4-5;3-4-5;PRESENT
KQvKN.rtbz;3-4-5;3-4-5;PRESENT
KQvKP.rtbz;3-4-5;3-4-5;PRESENT
KQvKQ.rtbz;3-4-5;3-4-5;PRESENT
KQvKR.rtbz;3-4-5;3-4-5;PRESENT
KQvK.rtbz;3-4-5;3-4-5;PRESENT
KRBBvK.rtbz;3-4-5;3-4-5;PRESENT
KRBNvK.rtbz;3-4-5;3-4-5;PRESENT
KRBPvK.rtbz;3-4-5;3-4-5;PRESENT
KRBvKB.rtbz;3-4-5;3-4-5;PRESENT
KRBvKN.rtbz;3-4-5;3-4-5;PRESENT
KRBvKP.rtbz;3-4-5;3-4-5;PRESENT
KRBvKQ.rtbz;3-4-5;3-4-5;PRESENT
KRBvKR.rtbz;3-4-5;3-4-5;PRESENT
KRBvK.rtbz;3-4-5;3-4-5;PRESENT
KRNNvK.rtbz;3-4-5;3-4-5;PRESENT
KRNPvK.rtbz;3-4-5;3-4-5;PRESENT
KRNvKB.rtbz;3-4-5;3-4-5;PRESENT
KRNvKN.rtbz;3-4-5;3-4-5;PRESENT
KRNvKP.rtbz;3-4-5;3-4-5;PRESENT
KRNvKQ.rtbz;3-4-5;3-4-5;PRESENT
KRNvKR.rtbz;3-4-5;3-4-5;PRESENT
KRNvK.rtbz;3-4-5;3-4-5;PRESENT
KRPPvK.rtbz;3-4-5;3-4-5;PRESENT
KRPvKB.rtbz;3-4-5;3-4-5;PRESENT
KRPvKN.rtbz;3-4-5;3-4-5;PRESENT
KRPvKP.rtbz;3-4-5;3-4-5;PRESENT
KRPvKQ.rtbz;3-4-5;3-4-5;PRESENT
KRPvKR.rtbz;3-4-5;3-4-5;PRESENT
KRPvK.rtbz;3-4-5;3-4-5;PRESENT
KRRBvK.rtbz;3-4-5;3-4-5;PRESENT
KRRNvK.rtbz;3-4-5;3-4-5;PRESENT
KRRPvK.rtbz;3-4-5;3-4-5;PRESENT
KRRRvK.rtbz;3-4-5;3-4-5;PRESENT
KRRvKB.rtbz;3-4-5;3-4-5;PRESENT
KRRvKN.rtbz;3-4-5;3-4-5;PRESENT
KRRvKP.rtbz;3-4-5;3-4-5;PRESENT
KRRvKQ.rtbz;3-4-5;3-4-5;PRESENT
KRRvKR.rtbz;3-4-5;3-4-5;PRESENT
KRRvK.rtbz;3-4-5;3-4-5;PRESENT
KRvKB.rtbz;3-4-5;3-4-5;PRESENT
KRvKN.rtbz;3-4-5;3-4-5;PRESENT
KRvKP.rtbz;3-4-5;3-4-5;PRESENT
KRvKR.rtbz;3-4-5;3-4-5;PRESENT
KRvK.rtbz;3-4-5;3-4-5;PRESENT
KBBBBvK.rtbw;6-WDL;6-WDL;PRESENT
KBBBNvK.rtbw;6-WDL;6-WDL;PRESENT
KBBBPvK.rtbw;6-WDL;6-WDL;PRESENT
KBBBvKB.rtbw;6-WDL;6-WDL;PRESENT
KBBBvKN.rtbw;6-WDL;6-WDL;PRESENT
KBBBvKP.rtbw;6-WDL;6-WDL;PRESENT
KBBBvKQ.rtbw;6-WDL;6-WDL;PRESENT
KBBBvKR.rtbw;6-WDL;6-WDL;PRESENT
KBBNNvK.rtbw;6-WDL;6-WDL;PRESENT
KBBNPvK.rtbw;6-WDL;6-WDL;PRESENT
KBBNvKB.rtbw;6-WDL;6-WDL;PRESENT
KBBNvKN.rtbw;6-WDL;6-WDL;PRESENT
KBBNvKP.rtbw;6-WDL;6-WDL;PRESENT
KBBNvKQ.rtbw;6-WDL;6-WDL;PRESENT
KBBNvKR.rtbw;6-WDL;6-WDL;PRESENT
KBBPPvK.rtbw;6-WDL;6-WDL;PRESENT
KBBPvKB.rtbw;6-WDL;6-WDL;PRESENT
KBBPvKN.rtbw;6-WDL;6-WDL;PRESENT
KBBPvKP.rtbw;6-WDL;6-WDL;PRESENT
KBBPvKQ.rtbw;6-WDL;6-WDL;PRESENT
KBBPvKR.rtbw;6-WDL;6-WDL;PRESENT
KBBvKBB.rtbw;6-WDL;6-WDL;PRESENT
KBBvKBN.rtbw;6-WDL;6-WDL;PRESENT
KBBvKBP.rtbw;6-WDL;6-WDL;PRESENT
KBBvKNN.rtbw;6-WDL;6-WDL;PRESENT
KBBvKNP.rtbw;6-WDL;6-WDL;PRESENT
KBBvKPP.rtbw;6-WDL;6-WDL;PRESENT
KBNNNvK.rtbw;6-WDL;6-WDL;PRESENT
KBNNPvK.rtbw;6-WDL;6-WDL;PRESENT
KBNNvKB.rtbw;6-WDL;6-WDL;PRESENT
KBNNvKN.rtbw;6-WDL;6-WDL;PRESENT
KBNNvKP.rtbw;6-WDL;6-WDL;PRESENT
KBNNvKQ.rtbw;6-WDL;6-WDL;PRESENT
KBNNvKR.rtbw;6-WDL;6-WDL;PRESENT
KBNPPvK.rtbw;6-WDL;6-WDL;PRESENT
KBNPvKB.rtbw;6-WDL;6-WDL;PRESENT
KBNPvKN.rtbw;6-WDL;6-WDL;PRESENT
KBNPvKP.rtbw;6-WDL;6-WDL;PRESENT
KBNPvKQ.rtbw;6-WDL;6-WDL;PRESENT
KBNPvKR.rtbw;6-WDL;6-WDL;PRESENT
KBNvKBN.rtbw;6-WDL;6-WDL;PRESENT
KBNvKBP.rtbw;6-WDL;6-WDL;PRESENT
KBNvKNN.rtbw;6-WDL;6-WDL;PRESENT
KBNvKNP.rtbw;6-WDL;6-WDL;PRESENT
KBNvKPP.rtbw;6-WDL;6-WDL;PRESENT
KBPPPvK.rtbw;6-WDL;6-WDL;PRESENT
KBPPvKB.rtbw;6-WDL;6-WDL;PRESENT
KBPPvKN.rtbw;6-WDL;6-WDL;PRESENT
KBPPvKP.rtbw;6-WDL;6-WDL;PRESENT
KBPPvKQ.rtbw;6-WDL;6-WDL;PRESENT
KBPPvKR.rtbw;6-WDL;6-WDL;PRESENT
KBPvKBP.rtbw;6-WDL;6-WDL;PRESENT
KBPvKNN.rtbw;6-WDL;6-WDL;PRESENT
KBPvKNP.rtbw;6-WDL;6-WDL;PRESENT
KBPvKPP.rtbw;6-WDL;6-WDL;PRESENT
KNNNNvK.rtbw;6-WDL;6-WDL;PRESENT
KNNNPvK.rtbw;6-WDL;6-WDL;PRESENT
KNNNvKB.rtbw;6-WDL;6-WDL;PRESENT
KNNNvKN.rtbw;6-WDL;6-WDL;PRESENT
KNNNvKP.rtbw;6-WDL;6-WDL;PRESENT
KNNNvKQ.rtbw;6-WDL;6-WDL;PRESENT
KNNNvKR.rtbw;6-WDL;6-WDL;PRESENT
KNNPPvK.rtbw;6-WDL;6-WDL;PRESENT
KNNPvKB.rtbw;6-WDL;6-WDL;PRESENT
KNNPvKN.rtbw;6-WDL;6-WDL;PRESENT
KNNPvKP.rtbw;6-WDL;6-WDL;PRESENT
KNNPvKQ.rtbw;6-WDL;6-WDL;PRESENT
KNNPvKR.rtbw;6-WDL;6-WDL;PRESENT
KNNvKNN.rtbw;6-WDL;6-WDL;PRESENT
KNNvKNP.rtbw;6-WDL;6-WDL;PRESENT
KNNvKPP.rtbw;6-WDL;6-WDL;PRESENT
KNPPPvK.rtbw;6-WDL;6-WDL;PRESENT
KNPPvKB.rtbw;6-WDL;6-WDL;PRESENT
KNPPvKN.rtbw;6-WDL;6-WDL;PRESENT
KNPPvKP.rtbw;6-WDL;6-WDL;PRESENT
KNPPvKQ.rtbw;6-WDL;6-WDL;PRESENT
KNPPvKR.rtbw;6-WDL;6-WDL;PRESENT
KNPvKNP.rtbw;6-WDL;6-WDL;PRESENT
KNPvKPP.rtbw;6-WDL;6-WDL;PRESENT
KPPPPvK.rtbw;6-WDL;6-WDL;PRESENT
KPPPvKB.rtbw;6-WDL;6-WDL;PRESENT
KPPPvKN.rtbw;6-WDL;6-WDL;PRESENT
KPPPvKP.rtbw;6-WDL;6-WDL;PRESENT
KPPPvKQ.rtbw;6-WDL;6-WDL;PRESENT
KPPPvKR.rtbw;6-WDL;6-WDL;PRESENT
KPPvKPP.rtbw;6-WDL;6-WDL;PRESENT
KQBBBvK.rtbw;6-WDL;6-WDL;PRESENT
KQBBNvK.rtbw;6-WDL;6-WDL;PRESENT
KQBBPvK.rtbw;6-WDL;6-WDL;PRESENT
KQBBvKB.rtbw;6-WDL;6-WDL;PRESENT
KQBBvKN.rtbw;6-WDL;6-WDL;PRESENT
KQBBvKP.rtbw;6-WDL;6-WDL;PRESENT
KQBBvKQ.rtbw;6-WDL;6-WDL;PRESENT
KQBBvKR.rtbw;6-WDL;6-WDL;PRESENT
KQBNNvK.rtbw;6-WDL;6-WDL;PRESENT
KQBNPvK.rtbw;6-WDL;6-WDL;PRESENT
KQBNvKB.rtbw;6-WDL;6-WDL;PRESENT
KQBNvKN.rtbw;6-WDL;6-WDL;PRESENT
KQBNvKP.rtbw;6-WDL;6-WDL;PRESENT
KQBNvKQ.rtbw;6-WDL;6-WDL;PRESENT
KQBNvKR.rtbw;6-WDL;6-WDL;PRESENT
KQBPPvK.rtbw;6-WDL;6-WDL;PRESENT
KQBPvKB.rtbw;6-WDL;6-WDL;PRESENT
KQBPvKN.rtbw;6-WDL;6-WDL;PRESENT
KQBPvKP.rtbw;6-WDL;6-WDL;PRESENT
KQBPvKQ.rtbw;6-WDL;6-WDL;PRESENT
KQBPvKR.rtbw;6-WDL;6-WDL;PRESENT
KQBvKBB.rtbw;6-WDL;6-WDL;PRESENT
KQBvKBN.rtbw;6-WDL;6-WDL;PRESENT
KQBvKBP.rtbw;6-WDL;6-WDL;PRESENT
KQBvKNN.rtbw;6-WDL;6-WDL;PRESENT
KQBvKNP.rtbw;6-WDL;6-WDL;PRESENT
KQBvKPP.rtbw;6-WDL;6-WDL;PRESENT
KQBvKQB.rtbw;6-WDL;6-WDL;PRESENT
KQBvKQN.rtbw;6-WDL;6-WDL;PRESENT
KQBvKQP.rtbw;6-WDL;6-WDL;PRESENT
KQBvKRB.rtbw;6-WDL;6-WDL;PRESENT
KQBvKRN.rtbw;6-WDL;6-WDL;PRESENT
KQBvKRP.rtbw;6-WDL;6-WDL;PRESENT
KQBvKRR.rtbw;6-WDL;6-WDL;PRESENT
KQNNNvK.rtbw;6-WDL;6-WDL;PRESENT
KQNNPvK.rtbw;6-WDL;6-WDL;PRESENT
KQNNvKB.rtbw;6-WDL;6-WDL;PRESENT
KQNNvKN.rtbw;6-WDL;6-WDL;PRESENT
KQNNvKP.rtbw;6-WDL;6-WDL;PRESENT
KQNNvKQ.rtbw;6-WDL;6-WDL;PRESENT
KQNNvKR.rtbw;6-WDL;6-WDL;PRESENT
KQNPPvK.rtbw;6-WDL;6-WDL;PRESENT
KQNPvKB.rtbw;6-WDL;6-WDL;PRESENT
KQNPvKN.rtbw;6-WDL;6-WDL;PRESENT
KQNPvKP.rtbw;6-WDL;6-WDL;PRESENT
KQNPvKQ.rtbw;6-WDL;6-WDL;PRESENT
KQNPvKR.rtbw;6-WDL;6-WDL;PRESENT
KQNvKBB.rtbw;6-WDL;6-WDL;PRESENT
KQNvKBN.rtbw;6-WDL;6-WDL;PRESENT
KQNvKBP.rtbw;6-WDL;6-WDL;PRESENT
KQNvKNN.rtbw;6-WDL;6-WDL;PRESENT
KQNvKNP.rtbw;6-WDL;6-WDL;PRESENT
KQNvKPP.rtbw;6-WDL;6-WDL;PRESENT
KQNvKQN.rtbw;6-WDL;6-WDL;PRESENT
KQNvKQP.rtbw;6-WDL;6-WDL;PRESENT
KQNvKRB.rtbw;6-WDL;6-WDL;PRESENT
KQNvKRN.rtbw;6-WDL;6-WDL;PRESENT
KQNvKRP.rtbw;6-WDL;6-WDL;PRESENT
KQNvKRR.rtbw;6-WDL;6-WDL;PRESENT
KQPPPvK.rtbw;6-WDL;6-WDL;PRESENT
KQPPvKB.rtbw;6-WDL;6-WDL;PRESENT
KQPPvKN.rtbw;6-WDL;6-WDL;PRESENT
KQPPvKP.rtbw;6-WDL;6-WDL;PRESENT
KQPPvKQ.rtbw;6-WDL;6-WDL;PRESENT
KQPPvKR.rtbw;6-WDL;6-WDL;PRESENT
KQPvKBB.rtbw;6-WDL;6-WDL;PRESENT
KQPvKBN.rtbw;6-WDL;6-WDL;PRESENT
KQPvKBP.rtbw;6-WDL;6-WDL;PRESENT
KQPvKNN.rtbw;6-WDL;6-WDL;PRESENT
KQPvKNP.rtbw;6-WDL;6-WDL;PRESENT
KQPvKPP.rtbw;6-WDL;6-WDL;PRESENT
KQPvKQP.rtbw;6-WDL;6-WDL;PRESENT
KQPvKRB.rtbw;6-WDL;6-WDL;PRESENT
KQPvKRN.rtbw;6-WDL;6-WDL;PRESENT
KQPvKRP.rtbw;6-WDL;6-WDL;PRESENT
KQPvKRR.rtbw;6-WDL;6-WDL;PRESENT
KQQBBvK.rtbw;6-WDL;6-WDL;PRESENT
KQQBNvK.rtbw;6-WDL;6-WDL;PRESENT
KQQBPvK.rtbw;6-WDL;6-WDL;PRESENT
KQQBvKB.rtbw;6-WDL;6-WDL;PRESENT
KQQBvKN.rtbw;6-WDL;6-WDL;PRESENT
KQQBvKP.rtbw;6-WDL;6-WDL;PRESENT
KQQBvKQ.rtbw;6-WDL;6-WDL;PRESENT
KQQBvKR.rtbw;6-WDL;6-WDL;PRESENT
